Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.00912E+12,463970.0,454550.0,-1.025978,53.983054,12,Severe,2,1,24/01/2009,7,09:00.0,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013388
2.00912E+12,461540.0,452820.0,-1.063378,53.967801,12,Severe,1,1,24/01/2009,7,40:00.0,189,E06000014,3,1036,1,30,1,4,6,0,0,5,4,1,2,0,0,1,1,E01013380
2.00912E+12,459140.0,451230.0,-1.100266,53.953792,12,Severe,1,1,26/01/2009,2,30:00.0,189,E06000014,3,59,6,30,3,4,6,0,0,4,1,1,2,0,0,1,2,E01013391
2.00912E+12,456270.0,447510.0,-1.14468,53.92068,12,Severe,1,1,26/01/2009,2,05:00.0,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013421
2.00912E+12,459220.0,452980.0,-1.098708,53.96951,12,Severe,2,1,27/01/2009,3,30:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,2,E01013346
2.00912E+12,458290.0,448000.0,-1.113833,53.924861,12,Severe,2,1,28/01/2009,4,03:00.0,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013421
2.00912E+12,458360.0,454000.0,-1.111621,53.978774,12,Severe,2,1,28/01/2009,4,30:00.0,189,E06000014,3,19,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013433
2.00912E+12,456540.0,447360.0,-1.140597,53.919303,12,Severe,2,1,30/01/2009,6,15:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01013423
2.00912E+12,462820.0,456300.0,-1.043152,53.998921,12,Severe,2,1,20/01/2009,3,30:00.0,189,E06000014,3,1237,1,30,2,4,6,0,0,0,1,1,1,0,0,2,2,E01013409
2.00912E+12,457670.0,454980.0,-1.121956,53.987658,12,Severe,2,1,31/01/2009,7,25:00.0,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013432
2.00912E+12,458770.0,453800.0,-1.105409,53.97693,12,Severe,2,1,10/02/2009,3,20:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01013435
2.00912E+12,460170.0,454670.0,-1.083894,53.984588,12,Severe,2,1,11/02/2009,4,30:00.0,189,E06000014,4,1363,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,2,E01013431
2.00912E+12,459550.0,451230.0,-1.094019,53.953745,12,Severe,2,1,12/02/2009,5,30:00.0,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01013417
2.00912E+12,460270.0,451750.0,-1.082946,53.958335,12,Severe,1,1,14/02/2009,7,10:00.0,189,E06000014,6,0,2,30,3,4,6,0,0,0,6,1,1,0,0,1,1,E01013366
2.00912E+12,459840.0,451570.0,-1.089534,53.956767,12,Severe,2,2,16/02/2009,2,41:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013415
2.00912E+12,459550.0,450050.0,-1.094249,53.943141,12,Severe,2,1,21/02/2009,7,00:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,2,2,E01013412
2.00912E+12,460260.0,452050.0,-1.083039,53.961032,12,Severe,1,1,21/02/2009,7,35:00.0,189,E06000014,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013366
2.00912E+12,464780.0,455260.0,-1.013477,53.989334,12,Severe,2,1,22/02/2009,1,44:00.0,189,E06000014,6,0,6,40,0,-1,-1,0,0,0,6,1,1,0,0,2,2,E01013437
2.00912E+12,459770.0,455960.0,-1.089741,53.996227,12,Severe,2,1,23/02/2009,2,50:00.0,189,E06000014,3,1237,6,60,1,4,4,1363,0,0,1,1,1,0,0,2,1,E01013407
2.00912E+12,455420.0,453870.0,-1.156468,53.977929,12,Severe,2,1,24/02/2009,3,10:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013422
2.00912E+12,454520.0,453570.0,-1.170243,53.975328,12,Medium,1,1,25/02/2009,4,10:00.0,189,E06000014,3,59,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013426
2.00912E+12,460060.0,452030.0,-1.086091,53.960876,12,Severe,1,1,25/02/2009,4,45:00.0,189,E06000014,3,1036,6,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01013366
2.00912E+12,459900.0,451840.0,-1.088567,53.959187,12,Severe,1,1,28/02/2009,7,08:00.0,189,E06000014,6,0,6,30,6,2,6,0,0,5,4,1,1,0,0,1,1,E01013415
2.00912E+12,456780.0,454040.0,-1.135703,53.979309,12,Severe,2,1,06/03/2009,6,10:00.0,189,E06000014,3,1237,1,60,1,4,6,0,0,0,1,1,1,0,0,2,2,E01013422
2.00912E+12,460470.0,452070.0,-1.079835,53.961187,12,Severe,1,1,06/03/2009,6,00:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013366
2.00912E+12,460730.0,451950.0,-1.075897,53.960079,12,Severe,1,1,07/03/2009,7,47:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013367
2.00912E+12,457510.0,454840.0,-1.124422,53.986418,12,Severe,3,2,08/03/2009,1,51:00.0,189,E06000014,3,1237,1,60,1,4,3,19,0,0,1,1,1,0,0,2,1,E01013432
2.00912E+12,457000.0,454310.0,-1.132298,53.981711,12,Severe,2,1,05/03/2009,5,25:00.0,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013422
2.00912E+12,457180.0,448840.0,-1.130577,53.932533,12,Severe,2,1,10/03/2009,3,45:00.0,189,E06000014,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,2,E01013354
2.00912E+12,460350.0,451660.0,-1.081745,53.957517,12,Severe,1,1,07/03/2009,7,30:00.0,189,E06000014,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013367
2.00912E+12,462160.0,453900.0,-1.053708,53.977433,12,Severe,2,1,10/03/2009,3,30:00.0,189,E06000014,3,1036,6,40,3,2,3,1036,0,0,1,1,1,0,0,2,2,E01013409
2.00912E+12,460560.0,452740.0,-1.078331,53.967198,12,Severe,2,1,11/03/2009,4,00:00.0,189,E06000014,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013368
2.00912E+12,460180.0,456160.0,-1.083448,53.997977,12,Severe,3,2,11/03/2009,4,40:00.0,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013407
2.00912E+12,460520.0,451830.0,-1.079121,53.959025,12,Severe,2,1,13/03/2009,6,50:00.0,189,E06000014,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01013367
2.00912E+12,461030.0,448140.0,-1.072085,53.925804,12,Severe,2,2,13/03/2009,6,40:00.0,189,E06000014,3,64,3,70,9,4,3,19,0,0,1,1,1,0,0,2,1,E01013365
2.00912E+12,460040.0,449890.0,-1.086816,53.941646,12,Severe,1,1,13/03/2009,6,39:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013414
2.00912E+12,455820.0,454400.0,-1.150273,53.982649,12,Severe,2,1,16/03/2009,2,30:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01013426
2.00912E+12,463650.0,450990.0,-1.031599,53.951101,12,Medium,2,1,17/03/2009,3,30:00.0,189,E06000014,6,0,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013378
2.00912E+12,461250.0,454260.0,-1.067509,53.980777,12,Medium,2,2,17/03/2009,3,06:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013406
2.00912E+12,459760.0,452560.0,-1.090559,53.965673,12,Severe,2,1,19/03/2009,5,30:00.0,189,E06000014,3,19,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01013344
2.00912E+12,459990.0,451750.0,-1.087213,53.958367,12,Severe,2,1,19/03/2009,5,10:00.0,189,E06000014,6,0,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01013415
2.00912E+12,460570.0,451890.0,-1.078347,53.959558,12,Severe,2,1,19/03/2009,5,00:00.0,189,E06000014,6,0,2,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013369
